Cultura,AnoMes,Ano,Mes,Preco_Minimo,Preco_Medio,Preco_Maximo,Custo_Medio
Soja,2019/01,2019,1,77.52,80.43,83.34,52.43
Soja,2019/02,2019,2,78.33,79.93,81.53,51.99
Soja,2019/03,2019,3,75.02,78.79,82.56,53.13
Soja,2019/04,2019,4,82.18,84.65,87.12,52.1
Soja,2019/05,2019,5,82.75,86.96,91.17,52.41
Soja,2019/06,2019,6,84.83,86.75,88.67,53.76
Soja,2019/07,2019,7,87.29,89.42,91.55,53.57
Soja,2019/08,2019,8,86.22,88.7,91.18,54.48
Soja,2019/09,2019,9,85.38,87.69,90.0,54.21
Soja,2019/10,2019,10,86.11,88.41,90.71,54.1
Soja,2019/11,2019,11,85.21,88.71,92.21,54.58
Soja,2019/12,2019,12,83.42,85.44,87.46,54.49
Soja,2020/01,2020,1,81.16,84.33,87.5,54.77
Soja,2020/02,2020,2,82.46,84.33,86.2,55.7
Soja,2020/03,2020,3,81.72,85.76,89.8,56.35
Soja,2020/04,2020,4,84.49,86.85,89.21,56.3
Soja,2020/05,2020,5,87.57,89.72,91.87,57.02
Soja,2020/06,2020,6,90.37,93.57,96.77,57.04
Soja,2020/07,2020,7,93.69,96.16,98.63,56.13
Soja,2020/08,2020,8,91.35,94.44,97.53,57.03
Soja,2020/09,2020,9,91.87,95.72,99.57,58.19
Soja,2020/10,2020,10,88.26,91.19,94.12,57.35
Soja,2020/11,2020,11,91.68,94.27,96.86,57.35
Soja,2020/12,2020,12,88.12,91.09,94.06,57.77
Soja,2021/01,2021,1,85.48,89.76,94.04,58.33
Soja,2021/02,2021,2,90.32,93.74,97.16,57.9
Soja,2021/03,2021,3,91.68,96.01,100.34,59.79
Soja,2021/04,2021,4,93.29,97.73,102.17,58.64
Soja,2021/05,2021,5,94.89,97.46,100.03,59.32
Soja,2021/06,2021,6,93.84,96.88,99.92,60.64
Soja,2021/07,2021,7,95.07,99.4,103.73,59.95
Soja,2021/08,2021,8,95.84,100.75,105.66,61.2
Soja,2021/09,2021,9,96.89,101.09,105.29,59.94
Soja,2021/10,2021,10,93.62,98.45,103.28,60.98
Soja,2021/11,2021,11,94.44,98.63,102.82,60.29
Soja,2021/12,2021,12,94.46,97.89,101.32,62.02
Soja,2022/01,2022,1,90.47,95.11,99.75,60.86
Soja,2022/02,2022,2,92.26,95.89,99.52,62.23
Soja,2022/03,2022,3,95.38,97.69,100.0,62.9
Soja,2022/04,2022,4,96.11,99.89,103.67,62.67
Soja,2022/05,2022,5,99.43,103.3,107.17,62.75
Soja,2022/06,2022,6,105.79,108.63,111.47,63.39
Soja,2022/07,2022,7,102.18,105.54,108.9,63.57
Soja,2022/08,2022,8,103.19,106.32,109.45,63.99
Soja,2022/09,2022,9,100.81,104.33,107.85,64.74
Soja,2022/10,2022,10,106.62,109.04,111.46,63.5
Soja,2022/11,2022,11,98.08,103.03,107.98,65.05
Soja,2022/12,2022,12,102.48,105.77,109.06,63.92
Soja,2023/01,2023,1,100.82,105.14,109.46,65.07
Soja,2023/02,2023,2,102.52,106.75,110.98,64.16
Soja,2023/03,2023,3,104.21,107.32,110.43,65.71
Soja,2023/04,2023,4,107.77,110.42,113.07,64.9
Soja,2023/05,2023,5,103.54,107.47,111.4,65.47
Soja,2023/06,2023,6,108.24,112.93,117.62,65.6
Soja,2023/07,2023,7,111.33,114.53,117.73,66.44
Soja,2023/08,2023,8,111.48,116.78,122.08,65.91
Soja,2023/09,2023,9,109.7,112.89,116.08,66.0
Soja,2023/10,2023,10,109.48,113.94,118.4,66.78
Soja,2023/11,2023,11,108.12,112.22,116.32,67.38
Soja,2023/12,2023,12,103.86,106.22,108.58,68.58
Soja,2024/01,2024,1,107.63,111.69,115.75,68.75
Soja,2024/02,2024,2,107.55,110.24,112.93,67.57
Soja,2024/03,2024,3,104.91,110.08,115.25,69.21
Soja,2024/04,2024,4,110.73,116.19,121.65,68.27
Soja,2024/05,2024,5,111.93,114.57,117.21,69.72
Soja,2024/06,2024,6,117.4,121.3,125.2,69.66
Soja,2024/07,2024,7,111.9,117.53,123.16,70.44
Soja,2024/08,2024,8,118.34,123.83,129.32,70.74
Soja,2024/09,2024,9,111.42,116.32,121.22,69.86
Soja,2024/10,2024,10,116.05,121.4,126.75,71.25
Soja,2024/11,2024,11,115.58,118.91,122.24,71.35
Soja,2024/12,2024,12,107.54,112.75,117.96,71.78
Soja,2025/01,2025,1,108.08,113.11,118.14,71.2
Soja,2025/02,2025,2,109.32,114.33,119.34,70.96
Soja,2025/03,2025,3,111.11,114.05,116.99,71.45
Soja,2025/04,2025,4,116.49,122.49,128.49,71.61
Soja,2025/05,2025,5,119.67,123.62,127.57,73.4
Soja,2025/06,2025,6,119.16,125.19,131.22,71.78
Soja,2025/07,2025,7,126.68,129.98,133.28,73.9
Soja,2025/08,2025,8,122.09,125.0,127.91,73.01
Soja,2025/09,2025,9,124.03,127.79,131.55,73.66
Soja,2025/10,2025,10,120.73,124.66,128.59,73.86
Soja,2025/11,2025,11,116.05,121.04,126.03,72.85
Soja,2025/12,2025,12,120.09,124.59,129.09,74.71
Soja,2026/01,2026,1,117.84,122.76,127.68,74.19
Soja,2026/02,2026,2,113.79,118.52,123.25,74.38
Soja,2026/03,2026,3,116.52,122.07,127.62,75.52
Soja,2026/04,2026,4,120.86,124.51,128.16,75.09
Soja,2026/05,2026,5,124.38,128.08,131.78,74.72
Soja,2026/06,2026,6,124.35,130.65,136.95,76.24
Soja,2026/07,2026,7,130.79,136.02,141.25,75.65
Milho,2019/01,2019,1,38.5,39.29,40.08,33.78
Milho,2019/02,2019,2,38.23,39.72,41.21,34.35
Milho,2019/03,2019,3,38.88,40.22,41.56,34.09
Milho,2019/04,2019,4,38.39,40.28,42.17,34.89
Milho,2019/05,2019,5,38.38,39.27,40.16,34.79
Milho,2019/06,2019,6,38.71,39.91,41.11,35.3
Milho,2019/07,2019,7,38.11,39.71,41.31,34.87
