Cultura,Ano,UF,Producao_ton,Volume_Exportado_ton
Soja,2019,PR,693652,379387
Soja,2019,RS,1491662,836428
Soja,2019,SC,249635,147858
Soja,2020,PR,785495,433005
Soja,2020,RS,1675866,917158
Soja,2020,SC,265878,154308
Soja,2021,PR,724671,405119
Soja,2021,RS,1687798,984202
Soja,2021,SC,262984,154165
Soja,2022,PR,671419,366361
Soja,2022,RS,1486295,882548
Soja,2022,SC,231009,128446
Soja,2023,PR,885237,503370
Soja,2023,RS,1829391,1009698
Soja,2023,SC,313479,184081
Soja,2024,PR,1032767,615518
Soja,2024,RS,2238469,1372022
Soja,2024,SC,356502,208062
Milho,2019,PR,708183,158016
Milho,2019,RS,331318,73567
Milho,2019,SC,140258,29175
Milho,2020,PR,721935,154812
Milho,2020,RS,332822,70873
Milho,2020,SC,142889,30598
Milho,2021,PR,655034,141770
Milho,2021,RS,299259,63542
Milho,2021,SC,127184,29447
Milho,2022,PR,722456,161022
Milho,2022,RS,324434,73338
Milho,2022,SC,138955,30128
Milho,2023,PR,823016,184105
Milho,2023,RS,371284,83492
Milho,2023,SC,162745,36990
Milho,2024,PR,1156379,240119
Milho,2024,RS,543456,116228
Milho,2024,SC,230934,53506
Trigo,2019,PR,95182,11168
Trigo,2019,RS,289151,34264
Trigo,2019,SC,43393,5181
Trigo,2020,PR,103614,12056
Trigo,2020,RS,328002,38240
Trigo,2020,SC,48325,6076
Trigo,2021,PR,111297,12906
Trigo,2021,RS,360604,43322
Trigo,2021,SC,49331,5598
Trigo,2022,PR,83121,10127
Trigo,2022,RS,271397,32263
Trigo,2022,SC,37638,4452
Trigo,2023,PR,128090,15425
Trigo,2023,RS,395151,49471
Trigo,2023,SC,53811,6628
Trigo,2024,PR,256678,30938
Trigo,2024,RS,767413,93647
Trigo,2024,SC,111426,13266
