Cultura,Mesorregiao,Area_ha,Producao_ton
Soja,Noroeste Rio-Grandense,739399,2238469
Soja,Oeste Paranaense,189414,619660
Soja,Sudoeste Paranaense,127762,413107
Soja,Oeste Catarinense,121485,356502
Milho,Noroeste Rio-Grandense,84907,543456
Milho,Oeste Paranaense,114287,693827
Milho,Sudoeste Paranaense,67798,462552
Milho,Oeste Catarinense,34064,230934
Trigo,Noroeste Rio-Grandense,299240,767413
Trigo,Oeste Paranaense,56852,154007
Trigo,Sudoeste Paranaense,38080,102671
Trigo,Oeste Catarinense,44520,111426
